Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Thu ,24/12/2009,80,3:20:00 PM,Al-Hazem,Al-Fateh,Alhazm Club Stadium,Al-Ras,14,2,1,,Abdelrahman Al-Qahtani,Khaled Al-Degairi,Yahya Al-Shahrani,Saleh Al-Aqeel
Thu ,24/12/2009,81,7:40:00 PM,Al-Ittihad,Al-Raed,Prince Abdullah Al-Faisal Stadium,Jeddah,14,3,2,,Daffer Al-Shehri,Abdulaziz Al-Kathiri,Abdelraheem Al-Shamari,Sami Al-Nemri
Thu ,24/12/2009,82,7:40:00 PM,Al-Qadsiah,Najran,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,14,1,0,,Meree Al-Awagi,Ziad Al-Mansor,Abdulaziz Al-Asmari,Abdulelah Al-Mousa
Fri ,25/12/2009,83,3:15:00 PM,Al-Shabab,Al-Nassr,Prince Faisal bin Fahad Stadium,Riyadh,14,3,2,,Vasilios Pamporidis,GENNAIOS Cristos,Bozatzidis Dimitrios,Meree Al-Awagi
Fri ,25/12/2009,84,7:40:00 PM,Al-Ettifaq,Al-Ahli,Prince Mohamed bin Fahd Stadium,Dammam,14,0,0,,Fahad Al-Mirdasi,Ibrahim Al-Debasi,Moaid Al-Sayeg,Mansor Al-Shamari
Thu ,31/12/2009,88,3:15:00 PM,Al-Nassr,Al-Hilal,King Fahad International Stadium,Riyadh,15,2,1,,KAKOS Anastasios,GENNAIOS Cristos,Panou Grigorios,Meree Al-Awagi
Fri ,01/01/2010,87,3:25:00 PM,Al-Raed,Al-Hazem,King Abdullah Sport City Stadium,Buraidah,15,1,1,,Zsolt Szabo,ALBERT Istvan,VISZOKAI Laszlo,Mohammed Al-Owais
Fri ,01/01/2010,85,7:45:00 PM,Al-Fateh,Al-Ettifaq,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,15,0,3,,Meree Al-Awagi,Fahad Al-Amri,Ahmed Fakihi,Mohammed Al-Hoaish
Fri ,01/01/2010,86,7:45:00 PM,Al-Ahli,Al-Shabab,Prince Abdullah Al-Faisal Stadium,Jeddah,15,1,1,,Abdulrahman Al-Amri,Yousef Merza,Abdulaziz Al-Kathiri,Sami Al-Nemri
Fri ,01/01/2010,89,7:45:00 PM,Al-Wehda,Al-Qadsiah,King Abdul Aziz Sport City Stadium,Makkah,15,2,1,,Saad Al-Kathiri,Abdulaziz Al-Asmari,Abdelraheem Al-Shamari,Abdelrahman Al-Malki
Fri ,01/01/2010,90,7:45:00 PM,Najran,Al-Ittihad,AlAkhdoud Club Stadium,Najran,15,2,3,,Khalil Al-Ghamdi,Moaid Al-Sayeg,Waleed Al-boaimi,Saleh Al-Sqoor
Wed ,06/01/2010,91,7:50:00 PM,Al-Ittihad,Al-Hazem,Prince Abdullah Al-Faisal Stadium,Jeddah,16,5,2,,Meree Al-Awagi,Yousef Merza,Nawaf Al-Otaibi,Sami Al-Nemri
Wed ,06/01/2010,92,7:50:00 PM,Al-Shabab,Al-Fateh,Prince Faisal bin Fahad Stadium,Riyadh,16,2,2,,Daffer Al-Shehri,Abdullah Al-Shlwi,Abdelraheem Al-Shamari,Saad Al-Kathiri
Wed ,06/01/2010,93,7:50:00 PM,Al-Qadsiah,Al-Nassr,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,16,0,2,,Victor Kassai,Gabor Eros,Gyorgy Ring,Fahad Al-Oraini
Thu ,07/01/2010,94,7:50:00 PM,Al-Hilal,Al-Ahli,King Fahad International Stadium,Riyadh,16,3,1,,Sandor Szabo,Zsolt Szpisjak,Vinsel Toth,Daffer Al-Shehri
Thu ,07/01/2010,95,7:50:00 PM,Al-Ettifaq,Al-Raed,Prince Mohamed bin Fahd Stadium,Dammam,16,3,0,,Metref Al-Qahtani,Ahmed Fakihi,Abdulaziz Al-Asmari,Abdulelah Al-Mousa
Thu ,07/01/2010,96,7:50:00 PM,Najran,Al-Wehda,AlAkhdoud Club Stadium,Najran,16,0,5,,Abdulrahman Al-Amri,Ibrahim Al-Debasi,Khaled Al-Degairi,Saleh Al-Sqoor
Sun ,10/01/2010,46,7:55:00 PM,Al-Ittihad,Al-Nassr,Prince Abdullah Al-Faisal Stadium,Jeddah,8,1,2,delayed match,Fabian Mihaly,Tepor Vamos,Szolt Varga,Abdelrahman Al-Malki
Wed ,13/01/2010,97,7:55:00 PM,Al-Raed,Al-Shabab,King Abdullah Sport City Stadium,Buraidah,17,1,1,,Fahad Al-Mirdasi,Yousef Merza,Bader Al-Shamrani,Mohammed Al-Nuhait
Wed ,13/01/2010,98,7:55:00 PM,Al-Ahli,Al-Qadsiah,Prince Abdullah Al-Faisal Stadium,Jeddah,17,3,2,,Khalid Al-Zahrani,Nassir Al-Mudhaffr,Abdullah Al-Shlwi,Abdulrahman Al-Amri
Wed ,13/01/2010,99,7:55:00 PM,Al-Fateh,Al-Hilal,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,17,0,4,,Jerome Laperriere,Bruno Zurbrugg,Thomas Habiger,Saad Al-Kathiri
Thu ,14/01/2010,100,7:55:00 PM,Al-Nassr,Najran,AlAkhdoud Club Stadium,Najran,17,3,2,Transferred to Najran by a decision of the Disciplinary Committee,Meree Al-Awagi,Abdulaziz Al-Asmari,Yahya Al-Meteq,Saleh Al-Sqoor
Thu ,14/01/2010,101,7:55:00 PM,Al-Wehda,Al-Ittihad,King Abdul Aziz Sport City Stadium,Makkah,17,1,3,,Abdelrahman Al-Qahtani,Ibrahim Al-Debasi,Fahad Al-Amri,Abdelrahman Al-Malki
Thu ,14/01/2010,102,7:55:00 PM,Al-Hazem,Al-Ettifaq,Alhazm Club Stadium,Al-Ras,17,0,2,,Abbas Ibrahim,Ahmed Fakihi,Saleh Al-Mutairi,Saleh Al-Hathlool
Mon ,18/01/2010,103,8:00:00 PM,Al-Shabab,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,18,0,2,,Khalid Al-Zahrani,Abdulaziz Al-Asmari,Ahmed Fakihi,Abdullah Al-Qahtani
Mon ,18/01/2010,104,8:00:00 PM,Najran,Al-Ahli,AlAkhdoud Club Stadium,Najran,18,2,1,,Daffer Al-Shehri,Yousef Merza,Saleh Al-Mutairi,Saleh Al-Sqoor
Mon ,18/01/2010,105,8:00:00 PM,Al-Qadsiah,Al-Fateh,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,18,0,1,,Carlo Bertolini,Sandro Pozzi,Charles Alexandre Helbling,Mansor Al-Shamari
Tue ,19/01/2010,106,8:00:00 PM,Al-Hilal,Al-Raed,Prince Faisal bin Fahad Stadium,Riyadh,18,2,1,,Abdelrahman Al-Qahtani,Moaid Al-Sayeg,Yahya Al-Shahrani,Daffer Al-Shehri
Tue ,19/01/2010,107,8:00:00 PM,Al-Wehda,Al-Nassr,King Abdul Aziz Sport City Stadium,Makkah,18,0,2,,Abdulrahman Al-Amri,Abdulaziz Al-Kathiri,Nawaf Al-Otaibi,Sami Al-Nemri
Tue ,19/01/2010,108,8:00:00 PM,Al-Ittihad,Al-Ettifaq,Prince Abdullah Al-Faisal Stadium,Jeddah,18,1,1,,Saad Al-Kathiri,Ibrahim Al-Debasi,Bader Al-Shamrani,Abdelrahman Al-Malki
Sat ,23/01/2010,109,8:00:00 PM,Al-Ettifaq,Al-Shabab,Prince Mohamed bin Fahd Stadium,Dammam,19,0,0,,Abdullah Al-Qahtani,Yousef Merza,Ziad Al-Mansor,Abdulrahman Al-Ahmri
Sat ,23/01/2010,110,8:00:00 PM,Al-Ahli,Al-Wehda,Prince Abdullah Al-Faisal Stadium,Jeddah,19,2,0,,Metref Al-Qahtani,Moaid Al-Sayeg,Abdelraheem Al-Shamari,Sami Al-Nemri
Sat ,23/01/2010,111,8:00:00 PM,Al-Fateh,Najran,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,19,0,1,,Abdelrahman Al-Qahtani,Abdulaziz Al-Asmari,Khaled Al-Degairi,Hussin Juraidan
Sun ,24/01/2010,112,8:00:00 PM,Al-Raed,Al-Qadsiah,King Abdullah Sport City Stadium,Buraidah,19,2,0,,Abdulrahman Al-Amri,Bader Al-Shamrani,Saleh Al-Mutairi,Mohammed Al-Nuhait
