Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Attendance,Referee_name,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name
Fri ,11/02/2011,114,8:15:00 PM,Al-Raed,Al-Fateh,King Abdullah Sport City Stadium,Buraidah,17,1,2,,5501,Saad Al-Kathiri,Khaled Al-Degairi,Majed Al-Nasser,Turki Al-Khudair
Fri ,11/02/2011,115,8:15:00 PM,Al-Ahli,Najran,Prince Abdullah Al-Faisal Stadium,Jeddah,17,2,1,,6540,Fahad Al-Oraini,Fahad Al-Amri,Mohammed Al-Abkari,Abdulrahman Al-Kabi
Fri ,11/02/2011,116,8:15:00 PM,Al-Faisaly,Al-Ettifaq,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,17,1,0,,617,Metref Al-Qahtani,Saleh Al-Shehri,Abdelraheem Al-Shamari,Abdulaziz Al-Funaitel
Sat ,12/02/2011,113,8:15:00 PM,Al-Hilal,Al-Wehda,Prince Faisal bin Fahad Stadium,Riyadh,17,2,1,,5119,Sami Al-Nemri,Moaid Al-Sayeg,Fahad Al-Amri,Mohammed Al-Qarni
Sat ,12/02/2011,117,8:15:00 PM,Al-Shabab,Al-Nassr,King Fahad International Stadium,Riyadh,17,2,0,,9366,Fahad Al-Mirdasi,Abdulaziz Al-Kathiri,Khaled Al-Degairi,Yahya Al-Qarni
Sat ,12/02/2011,118,8:15:00 PM,Al-Taawoun,Al-Qadsiah,King Abdullah Sport City Stadium,Buraidah,17,1,1,,2610,Meree Al-Awagi,Abdullah Al-Shlwi,Hmood Al-Shamari,Mishari Al-Mishari
Sat ,12/02/2011,119,8:15:00 PM,Al-Hazem,Al-Ittihad,Alhazm Club Stadium,Al-Ras,17,0,3,,633,Abdulrahman Al-Amri,Abdulaziz Al-Asmari,Abdullah Asiri,Mohammed Al-Owais
Mon ,21/02/2011,57,8:15:00 PM,Al-Shabab,Al-Hilal,Prince Faisal bin Fahad Stadium,Riyadh,9,0,2,Delayed for this day,7997,Istvan Vad,Vinsel Toth,ALBERT Istvan,Saad Al-Kathiri
Thu ,24/02/2011,120,8:20:00 PM,Al-Nassr,Al-Faisaly,Prince Faisal bin Fahad Stadium,Riyadh,18,3,2,,3290,Abdulrahman Al-Amri,Fahad Al-Amri,Hmood Al-Shamari,Bader Al-Anazi
Thu ,24/02/2011,121,8:20:00 PM,Al-Wehda,Al-Hazem,King Abdul Aziz Sport City Stadium,Makkah,18,8,1,,233,Abdelrahman Al-Qahtani,Saleh Al-Mutairi,Yahya Al-Meteq,Abdelrahman Al-Malki
Thu ,24/02/2011,122,8:20:00 PM,Al-Ittihad,Al-Ahli,Prince Abdullah Al-Faisal Stadium,Jeddah,18,2,0,,15758,SIEJEWICZ Hubert,BORKOWSKI Marcin,SIEJKA Radoslaw,Mishari Al-Mishari
Fri ,25/02/2011,123,8:20:00 PM,Al-Fateh,Al-Hilal,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,18,1,2,,9281,Fahad Al-Oraini,Abdelraheem Al-Shamari,Mohammed Al-Abkari,Abdulrahman Al-Ahmri
Fri ,25/02/2011,124,8:20:00 PM,Najran,Al-Ettifaq,AlAkhdoud Club Stadium,Najran,18,2,4,,1460,Sami Al-Nemri,Mohammed Khmash,Abdullah Al-Ahmari,Amer Al-Shehri
Fri ,25/02/2011,125,8:20:00 PM,Al-Raed,Al-Taawoun,King Abdullah Sport City Stadium,Buraidah,18,0,0,,14909,Khalil Al-Ghamdi,Abdulaziz Al-Kathiri,Nassir Al-Mudhaffr,Saleh Al-Hathlool
Fri ,25/02/2011,126,8:20:00 PM,Al-Qadsiah,Al-Shabab,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,18,1,1,,266,Meree Al-Awagi,Ibrahim Al-Debasi,Waleed Al-boaimi,Mansor Al-Shamari
Thu ,03/03/2011,129,8:25:00 PM,Al-Hazem,Al-Faisaly,Alhazm Club Stadium,Al-Ras,19,0,3,,93,Abdulrahman Al-Ahmri,Abdulwahab Al-Zahrani,Khaled Aqel,Saleh Al-Hathlool
Fri ,04/03/2011,131,8:25:00 PM,Al-Ettifaq,Al-Wehda,Prince Mohamed bin Fahd Stadium,Dammam,19,3,0,,1587,Abdulrahman Al-Amri,Fahad Al-Amri,Ziad Al-Mansor,Hussin Al-Setri
Fri ,04/03/2011,132,8:25:00 PM,Najran,Al-Taawoun,AlAkhdoud Club Stadium,Najran,19,0,3,,683,Technical Committee accept the protest of Najran club against Al-Taawoun and Najran will be winner 3 - 0 but Appeal Committee accept the appeal of Al-Taawoun and Al-Taawoun will be winner 3 - 0,<a class='fontbluea' href='referee.php?id=54'>Fahad Al-Mirdasi</a>,,
Sun ,06/03/2011,127,8:25:00 PM,Al-Nassr,Al-Qadsiah,King Fahad International Stadium,Riyadh,19,0,0,,2679,Sami Al-Nemri,Abdulaziz Al-Kathiri,Abdulaziz Al-Asmari,Meree Al-Awagi
Sun ,06/03/2011,128,8:25:00 PM,Al-Ahli,Al-Hilal,Prince Abdullah Al-Faisal Stadium,Jeddah,19,1,1,,15715,DRACHTA Oliver,SCHWAB Norbert,BRANDNER Roland,Abdulrahman Al-Amri
Sun ,06/03/2011,130,8:25:00 PM,Al-Shabab,Al-Fateh,Prince Faisal bin Fahad Stadium,Riyadh,19,0,0,,103,Khalil Al-Ghamdi,Abdullah Al-Shlwi,Saleh Al-Mutairi,Saad Al-Kathiri
Mon ,07/03/2011,133,8:25:00 PM,Al-Ittihad,Al-Raed,Prince Abdullah Al-Faisal Stadium,Jeddah,19,3,0,,4398,Metref Al-Qahtani,Nassir Al-Mudhaffr,Mohammed Al-Abkari,Abdelrahman Al-Malki
Thu ,17/03/2011,136,8:30:00 PM,Al-Raed,Al-Hazem,King Abdullah Sport City Stadium,Buraidah,20,2,0,,4949,Hussin Al-Setri,Bader Al-Shamrani,Majed Al-Nasser,Mohammed Al-Owais
Thu ,17/03/2011,139,8:30:00 PM,Al-Fateh,Al-Ettifaq,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,20,1,0,,914,Metref Al-Qahtani,Moaid Al-Sayeg,Mohammed Khmash,Shukri Al-Hanfosh
Fri ,18/03/2011,138,8:30:00 PM,Al-Taawoun,Al-Ahli,King Abdullah Sport City Stadium,Buraidah,20,2,1,,3956,Abdulrahman Al-Amri,Abdullah Al-Shlwi,Abdullah Al-Ahmari,Saleh Al-Aqeel
Fri ,18/03/2011,140,8:30:00 PM,Al-Faisaly,Al-Qadsiah,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,20,2,1,,532,Saad Al-Kathiri,Ibrahim Al-Debasi,Waleed Al-boaimi,Yahya Al-Qarni
Sun ,20/03/2011,134,8:30:00 PM,Al-Shabab,Najran,Prince Faisal bin Fahad Stadium,Riyadh,20,0,1,,46,Sami Al-Nemri,Nassir Al-Mudhaffr,Abdulaziz Al-Asmari,Khaled Al-Teris
